TIME_STAMPING,ALTITUDE
0,696.8
1,700.2
2,704.2
3,695.4
4,702.7
5,699.6
6,697.9
7,701.2
8,702.6
9,703.4
10,705.0
11,696.8
12,698.8
13,702.4
14,700.7
15,700.1
16,698.5
17,696.2
18,704.7
19,697.9
20,699.5
21,695.5
22,700.4
23,696.5
24,698.3
25,698.4
26,695.7
27,695.8
28,698.9
29,701.8
30,695.5
31,696.2
32,698.9
33,705.0
34,704.2
35,697.9
36,699.8
37,700.4
38,701.4
39,698.9
40,695.4
41,700.1
42,696.8
43,696.5
44,702.6
45,699.7
46,698.4
47,698.8
48,696.1
49,698.3
50,702.3
51,704.4
52,701.9
53,702.8
54,699.2
55,699.9
56,703.7
57,697.2
58,703.5
59,697.4
60,698.2
61,704.8
62,702.7
63,699.8
64,698.2
65,702.2
66,696.3
67,697.6
68,695.2
69,696.8
70,696.5
71,697.6
72,700.0
73,704.2
74,696.5
75,698.8
76,696.9
77,700.0
78,700.7
79,702.8
80,700.7
81,695.7
82,700.2
83,697.8
84,704.8
85,702.6
86,697.9
87,703.4
88,698.2
89,695.1
90,697.0
91,701.2
92,703.6
93,696.3
94,704.4
95,701.4
96,703.2
97,700.9
98,695.5
99,703.9
100,699.6
101,701.9
102,697.7
103,700.6
104,699.0
105,699.7
106,697.2
107,702.7
108,700.9
109,696.6
110,699.0
111,704.7
112,697.5
113,704.0
114,699.7
115,701.3
116,702.8
117,700.3
118,703.1
119,704.4
120,699.7
121,704.6
122,701.3
123,696.6
124,701.3
125,703.0
126,696.3
127,704.3
128,699.0
129,695.4
130,698.1
131,703.3
132,697.1
133,701.8
134,702.5
135,696.9
136,702.1
137,700.3
138,703.9
